1,1,"Heureux l'homme qui ne marche pas selon le conseil des méchants, Qui ne s'arrête pas sur la voie des pécheurs, Et qui ne s'assied pas en compagnie des moqueurs,"
1,2,"Mais qui trouve son plaisir dans la loi de l'Éternel, Et qui la médite jour et nuit !"
1,3,"Il est comme un arbre planté près d'un courant d'eau, Qui donne son fruit en sa saison, Et dont le feuillage ne se flétrit point : Tout ce qu'il fait lui réussit."
1,4,"Il n'en est pas ainsi des méchants : Ils sont comme la paille que le vent dissipe."
1,5,"C'est pourquoi les méchants ne résistent pas au jour du jugement, Ni les pécheurs dans l'assemblée des justes ;"
1,6,"Car l'Éternel connaît la voie des justes, Et la voie des pécheurs mène à la ruine."
2,1,"Pourquoi ce tumulte parmi les nations, Ces vaines pensées parmi les peuples ?"
2,2,"Pourquoi les rois de la terre se soulèvent-ils Et les princes se liguent-ils avec eux Contre l'Éternel et contre son oint ? -"
2,3,"Brisons leurs liens, Délivrons-nous de leurs chaînes ! -"
2,4,"Celui qui siège dans les cieux rit, Le Seigneur se moque d'eux."
2,5,"Puis il leur parle dans sa colère, Il les épouvante dans sa fureur :"
2,6,"C'est moi qui ai oint mon roi Sur Sion, ma montagne sainte !"
2,7,"Je publierai le décret ; L'Éternel m'a dit : Tu es mon fils ! Je t'ai engendré aujourd'hui."
2,8,"Demande-moi et je te donnerai les nations pour héritage, Les extrémités de la terre pour possession ;"
2,9,"Tu les briseras avec une verge de fer, Tu les briseras comme le vase d'un potier."
2,10,"Et maintenant, rois, conduisez-vous avec sagesse ! Juges de la terre, recevez instruction !"
2,11,"Servez l'Éternel avec crainte, Et réjouissez-vous avec tremblement."
2,12,"Baisez le fils, de peur qu'il ne s'irrite, Et que vous ne périssiez dans votre voie, Car sa colère est prompte à s'enflammer. Heureux tous ceux qui se confient en lui !"
3,1,"(3:1) Psaume de David. À l'occasion de sa fuite devant Absalom, son fils. (3:2) Ô Éternel, que mes ennemis sont nombreux ! Quelle multitude se lève contre moi !"
3,2,"(3:3) Combien qui disent à mon sujet : Plus de salut pour lui auprès de Dieu ! -Pause."
3,3,"(3:4) Mais toi, ô Éternel ! tu es mon bouclier, Tu es ma gloire, et tu relèves ma tête."
3,4,"(3:5) De ma voix je crie à l'Éternel, Et il me répond de sa montagne sainte. -Pause."
3,5,"(3:6) Je me couche, et je m'endors ; Je me réveille, car l'Éternel est mon soutien."
3,6,"(3:7) Je ne crains pas les myriades de peuples Qui m'assiègent de toutes parts."
3,7,"(3:8) Lève-toi, Éternel ! sauve-moi, mon Dieu ! Car tu frappes à la joue tous mes ennemis, Tu brises les dents des méchants."
3,8,"(3:9) Le salut est auprès de l'Éternel : Que ta bénédiction soit sur ton peuple ! -Pause."
4,1,"(4:1) Au chef des chantres. Avec instruments à cordes. Psaume de David. (4:2) Quand je crie, réponds-moi, Dieu de ma justice ! Quand je suis dans la détresse, sauve-moi ! Aie pitié de moi, écoute ma prière !"
